predecessor_work_id,successor_work_id,dependency_type,severity,min_lag_days,overlap_days,reason,shared
SW_SUST_PLANT_GASTON_U2_containment_inspection_2028-11-20,SW_SUST_PLANT_GASTON_U2_refueling_outage_scope_2028-11-20,SS,High,0,185,Overlapping windows at plant PLANT_GASTON_U2 (185 days).,resources:mechanical
SW_SUST_PLANT_GASTON_U2_containment_inspection_2028-11-20,SW_SUST_PLANT_GASTON_U2_steam_generator_tube_ins_2028-11-20,SS,High,0,185,Overlapping windows at plant PLANT_GASTON_U2 (185 days).,resources:mechanical
SW_SUST_PLANT_GASTON_U2_refueling_outage_scope_2028-11-20,SW_SUST_PLANT_GASTON_U2_steam_generator_tube_ins_2028-11-20,SS,High,0,185,Overlapping windows at plant PLANT_GASTON_U2 (185 days).,resources:mechanical
SW_SUST_PLANT_GASTON_U3_blade_inspection_&_repai_2026-12-30,SW_SUST_PLANT_GASTON_U3_gearbox_oil_change_2026-12-30,SS,Medium,0,182,Overlapping windows at plant PLANT_GASTON_U3 (182 days).,
SW_SUST_PLANT_GASTON_U3_blade_inspection_&_repai_2026-12-30,SW_SUST_PLANT_GASTON_U3_main_bearing_inspection_2026-12-30,SS,Medium,0,182,Overlapping windows at plant PLANT_GASTON_U3 (182 days).,
SW_SUST_PLANT_GASTON_U3_gearbox_oil_change_2026-12-30,SW_SUST_PLANT_GASTON_U3_main_bearing_inspection_2026-12-30,SS,High,0,182,Overlapping windows at plant PLANT_GASTON_U3 (182 days).,resources:mechanical
SW_SUST_PLANT_GASTON_U3_blade_inspection_&_repai_2028-12-30,SW_SUST_PLANT_GASTON_U3_gearbox_oil_change_2028-12-30,SS,Medium,0,182,Overlapping windows at plant PLANT_GASTON_U3 (182 days).,
SW_SUST_PLANT_GASTON_U3_blade_inspection_&_repai_2028-12-30,SW_SUST_PLANT_GASTON_U3_main_bearing_inspection_2028-12-30,SS,Medium,0,182,Overlapping windows at plant PLANT_GASTON_U3 (182 days).,
SW_SUST_PLANT_GASTON_U3_gearbox_oil_change_2028-12-30,SW_SUST_PLANT_GASTON_U3_main_bearing_inspection_2028-12-30,SS,High,0,182,Overlapping windows at plant PLANT_GASTON_U3 (182 days).,resources:mechanical
SW_SUST_plant_doe-lpo-nan_6ec756_boiler_tube_inspection_&_2024-04-01,SW_SUST_plant_doe-lpo-nan_6ec756_boiler_tube_inspection_&_2024-04-01,SS,High,0,183,Overlapping windows at plant plant_doe-lpo-nan_6ec756 (183 days).,"resources:mechanical,ndt"
SW_SUST_plant_doe-lpo-nan_6ec756_boiler_tube_inspection_&_2024-04-01,SW_SUST_plant_doe-lpo-nan_6ec756_fgd/gypsum_handling_upke_2024-04-01,SS,High,0,183,Overlapping windows at plant plant_doe-lpo-nan_6ec756 (183 days).,resources:mechanical
SW_SUST_plant_doe-lpo-nan_6ec756_boiler_tube_inspection_&_2024-04-01,SW_SUST_plant_doe-lpo-nan_6ec756_scr_catalyst_changeout_2024-04-01,SS,High,0,183,Overlapping windows at plant plant_doe-lpo-nan_6ec756 (183 days).,resources:mechanical
SW_SUST_plant_doe-lpo-nan_6ec756_boiler_tube_inspection_&_2024-04-01,SW_SUST_plant_doe-lpo-nan_6ec756_spillway_&_gate_maintena_2024-04-01,SS,High,0,183,Overlapping windows at plant plant_doe-lpo-nan_6ec756 (183 days).,resources:mechanical
SW_SUST_plant_doe-lpo-nan_6ec756_boiler_tube_inspection_&_2024-04-01,SW_SUST_plant_doe-lpo-nan_6ec756_turbine/generator_runner_2024-04-01,SS,High,0,183,Overlapping windows at plant plant_doe-lpo-nan_6ec756 (183 days).,resources:mechanical
SW_SUST_plant_doe-lpo-nan_6ec756_fgd/gypsum_handling_upke_2024-04-01,SW_SUST_plant_doe-lpo-nan_6ec756_fgd/gypsum_handling_upke_2024-04-01,SS,High,0,183,Overlapping windows at plant plant_doe-lpo-nan_6ec756 (183 days).,"resources:environmental,mechanical"
SW_SUST_plant_doe-lpo-nan_6ec756_fgd/gypsum_handling_upke_2024-04-01,SW_SUST_plant_doe-lpo-nan_6ec756_scr_catalyst_changeout_2024-04-01,SS,High,0,183,Overlapping windows at plant plant_doe-lpo-nan_6ec756 (183 days).,"resources:environmental,mechanical"
SW_SUST_plant_doe-lpo-nan_6ec756_fgd/gypsum_handling_upke_2024-04-01,SW_SUST_plant_doe-lpo-nan_6ec756_spillway_&_gate_maintena_2024-04-01,SS,High,0,183,Overlapping windows at plant plant_doe-lpo-nan_6ec756 (183 days).,resources:mechanical
